time,moisture
12/29/2003,53.7362061
1/5/2004,52.0995026
1/12/2004,54.7982368
1/19/2004,55.4921799
1/26/2004,53.9688187
2/2/2004,56.3392181
2/9/2004,54.5806694
2/16/2004,54.1975555
2/23/2004,55.8014526
3/1/2004,53.9749451
3/8/2004,54.9799194
3/15/2004,51.5552101
3/22/2004,48.5398521
3/29/2004,48.4286613
4/5/2004,52.4503174
4/12/2004,52.0966187
4/19/2004,52.1854401
4/26/2004,52.1199646
5/3/2004,52.3825073
5/10/2004,49.6401672
5/17/2004,52.0161858
5/24/2004,55.1558876
5/31/2004,54.4518013
6/7/2004,53.628212
6/14/2004,54.4087524
6/21/2004,52.5649948
6/28/2004,54.6263046
7/5/2004,55.0523224
7/12/2004,55.5096893
7/19/2004,56.6067047
7/26/2004,58.6268959
8/2/2004,58.4190254
8/9/2004,56.9782715
8/16/2004,56.1394157
8/23/2004,56.2050781
8/30/2004,55.8620224
9/6/2004,55.3747482
9/13/2004,54.8763428
9/20/2004,54.2373772
9/27/2004,54.0886917
10/4/2004,52.6699677
10/11/2004,52.9198189
10/18/2004,52.8224068
10/25/2004,52.0787773
11/1/2004,52.240139
11/8/2004,50.7785606
11/15/2004,52.2410316
11/22/2004,53.0936203
11/29/2004,51.6426582
12/6/2004,52.2325211
12/13/2004,50.2229118
12/20/2004,51.3762894
12/27/2004,53.1518669
1/3/2005,52.5186234
1/10/2005,50.6846695
1/17/2005,51.0823441
1/24/2005,50.7118759
1/31/2005,51.3313026
2/7/2005,50.1296005
2/14/2005,51.6167297
2/21/2005,49.9032059
2/28/2005,49.8970222
3/7/2005,51.2094536
3/14/2005,50.4921761
3/21/2005,51.6015472
3/28/2005,48.7219963
4/4/2005,47.0228882
4/11/2005,46.5727386
4/18/2005,43.7758217
4/25/2005,46.5097389
5/2/2005,46.0305672
5/9/2005,48.2849846
5/16/2005,48.988018
5/23/2005,47.9530373
5/30/2005,48.9288445
6/6/2005,49.4576263
6/13/2005,49.9702873
6/20/2005,50.946743
6/27/2005,51.132309
7/4/2005,50.6484909
7/11/2005,50.1130371
7/18/2005,49.6097908
7/25/2005,47.7268219
8/1/2005,46.9818573
8/8/2005,48.0783691
8/15/2005,49.7586899
8/22/2005,49.174511
8/29/2005,47.9753151
9/5/2005,46.7117882
9/12/2005,47.9790154
9/19/2005,46.0389671
9/26/2005,47.7344551
10/3/2005,47.5255814
10/10/2005,47.2164993
10/17/2005,48.5342216
10/24/2005,48.909874
10/31/2005,47.8477364
11/7/2005,48.1926842
11/14/2005,48.9100113
11/21/2005,47.3779106
11/28/2005,48.948925
12/5/2005,49.5470619
12/12/2005,47.6656189
12/19/2005,46.226387
12/26/2005,49.5001564
1/2/2006,50.6836739
1/9/2006,49.1419678
1/16/2006,51.3343849
1/23/2006,49.6285706
1/30/2006,50.7015533
2/6/2006,50.5487556
2/13/2006,49.5787582
2/20/2006,51.4709663
2/27/2006,51.8925438
3/6/2006,50.0503654
3/13/2006,52.3150482
3/20/2006,50.9417343
3/27/2006,50.3998032
4/3/2006,51.6576729
4/10/2006,51.0186348
4/17/2006,50.8245544
4/24/2006,50.0294876
5/1/2006,50.5927048
5/8/2006,51.3995056
5/15/2006,48.9334755
5/22/2006,50.4400635
5/29/2006,50.699337
6/5/2006,48.8669357
6/12/2006,48.4660568
6/19/2006,47.8309593
6/26/2006,46.4021072
7/3/2006,47.7776604
7/10/2006,47.9512558
7/17/2006,48.9355431
7/24/2006,48.1824455
7/31/2006,49.1746445
8/7/2006,49.5271416
8/14/2006,48.1575737
8/21/2006,46.7220001
8/28/2006,50.3039589
9/4/2006,48.9947853
9/11/2006,48.9123192
9/18/2006,51.3306541
9/25/2006,51.4092255
10/2/2006,53.2611923
10/9/2006,51.318367
10/16/2006,54.1427956
10/23/2006,53.9955254
10/30/2006,54.5829964
11/6/2006,54.3497849
11/13/2006,54.5801735
11/20/2006,54.5449867
11/27/2006,54.0835419
12/4/2006,53.0323296
12/11/2006,54.945652
12/18/2006,55.9097443
12/25/2006,56.5333443
1/1/2007,56.6307449
1/8/2007,55.8686562
1/15/2007,53.867157
1/22/2007,53.092514
1/29/2007,52.5806465
2/5/2007,53.7434578
2/12/2007,53.052803
2/19/2007,52.1701546
2/26/2007,52.3251877
3/5/2007,51.1060791
3/12/2007,51.4662018
3/19/2007,53.6539307
3/26/2007,54.4307442
4/2/2007,52.6856689
4/9/2007,53.2594948
4/16/2007,55.3215637
4/23/2007,54.9576797
4/30/2007,55.3966255
5/7/2007,55.0448341
5/14/2007,53.3448296
5/21/2007,52.4237175
5/28/2007,51.9674149
6/4/2007,53.3848038
6/11/2007,52.4917297
6/18/2007,53.851944
6/25/2007,52.883667
7/2/2007,53.2157402
7/9/2007,53.7227745
7/16/2007,53.0425682
7/23/2007,53.0365753
7/30/2007,55.1216774
8/6/2007,56.3396759
8/13/2007,54.09832
8/20/2007,54.5190163
8/27/2007,54.3111382
9/3/2007,53.0431747
9/10/2007,53.9008713
9/17/2007,52.4518585
9/24/2007,52.6103172
10/1/2007,52.613678
10/8/2007,53.7099991
10/15/2007,51.5753975
10/22/2007,53.8395844
10/29/2007,51.8277321
11/5/2007,52.7212982
11/12/2007,51.6055603
11/19/2007,49.4812012
11/26/2007,51.075016
12/3/2007,52.1640129
12/10/2007,54.2515488
12/17/2007,52.6677094
12/24/2007,55.2978821
12/31/2007,50.3918686
1/7/2008,52.0783386
1/14/2008,52.232132
1/21/2008,54.1069641
1/28/2008,55.9020615
2/4/2008,54.4750519
2/11/2008,54.2122688
2/18/2008,53.8535309
2/25/2008,54.2923508
3/3/2008,53.1876869
3/10/2008,52.1354904
3/17/2008,52.135067
3/24/2008,51.1489105
3/31/2008,52.7671204
4/7/2008,52.1424866
4/14/2008,53.3768654
4/21/2008,50.0082474
4/28/2008,49.8293228
5/5/2008,50.5051231
5/12/2008,51.0446587
5/19/2008,52.3097153
5/26/2008,54.5691299
6/2/2008,53.3286324
6/9/2008,54.5844612
6/16/2008,51.9354973
6/23/2008,50.5636292
6/30/2008,51.1582413
7/7/2008,52.1567268
7/14/2008,50.8213234
7/21/2008,52.3827133
7/28/2008,51.6415253
8/4/2008,52.3326912
8/11/2008,52.1016464
8/18/2008,51.4625168
8/25/2008,51.3891296
9/1/2008,53.4085045
9/8/2008,53.3407707
9/15/2008,52.3956871
9/22/2008,54.2561111
9/29/2008,51.3879967
10/6/2008,53.0466003
10/13/2008,52.96912
